account,avg_pnl,total_pnl,n_trades,avg_size_usd,buy_count,sell_count,buy_sell_ratio,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,419.1277684596647,1600229.819979,3818,16159.57673389209,1711,2107,0.8120550545795862,1
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,6.5776539167582415,47885.320514,7280,1653.2263269230768,3055,4225,0.7230769230767519,0
0x271b280974205ca63b716753467d5a371de622ab,-18.49204287687057,-70436.191318,3809,8893.000897873459,1566,2243,0.6981720909493098,0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,9.951529904139434,132464.814554,13311,507.6269326121253,6699,6612,1.0131578947366888,0
0x2c229d22b100a7beb69122eed721cee9b24011dd,52.0710111126891,168658.004994,3239,3138.894782340228,1179,2060,0.5723300970871008,0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-38.28662574969325,-31203.599986,815,1729.9411042944785,182,633,0.28751974723493284,0
0x39cef799f8b69da1995852eea189df24eb5cae3c,4.0281190682641395,14456.919335999997,3589,4790.5754862078575,1648,1941,0.8490468830495368,0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,161.13327482831323,53496.247243,332,3445.471265060241,170,162,1.049382716042905,0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,520.9023308929503,199505.592732,383,5189.367127937337,101,282,0.3581560283675243,1
0x430f09841d65beb3f27765503d0f850b8bce7713,336.735547567502,416541.872341,1237,2397.824753435732,302,935,0.32299465240607167,1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,12.130967972884141,103343.716161,8519,517.5289235825802,4076,4443,0.9173981543999735,0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,155.58931373806246,677747.050643,4356,9084.699093204776,2115,2241,0.9437751004011853,0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,40.740489150316456,308975.869716,7584,17098.171054852322,4172,3412,1.2227432590852219,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,68.68441935403726,840422.555216,12236,34396.58028440667,6368,5868,1.0852079072936118,2
0x6d6a4b953f202f8df5bed40692e7fd865318264a,111.51919668923077,108731.216772,975,746.7256512820513,363,612,0.5931372549009916,0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,270.0349471163522,429355.565915,1590,7216.667245283019,598,992,0.6028225806445536,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,281.8262266846154,403011.504159,1430,2133.6673636363635,639,791,0.8078381795185742,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,38.3195599627009,379095.406711,9893,2600.7780491256444,4929,4964,0.9929492344881158,0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,9.557692781911483,14900.443047,1559,3748.8675112251444,691,868,0.7960829493078386,0
0x8170715b3b381dffb7062c0298972d4727a0a63b,-36.43145507085416,-167621.124781,4601,2204.6855314062163,2262,2339,0.9670799486956105,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,34.2823955552067,65513.657906,1911,6279.002286760858,1155,756,1.5277777777757569,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2.928191023869849,43917.008976,14998,820.4285131350847,6964,8034,0.8668160318644677,0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,41.47409637418087,126578.942134,3052,3601.689298820446,2104,948,2.2194092826980807,0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,6.81210350887536,106302.875256,15605,1273.1950003204101,9983,5622,1.7757025969402747,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,174.6918088057554,72846.484272,417,2066.6892086330936,156,261,0.5977011494229973,1
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,120.50731710657195,67845.619531,563,2979.4417761989343,332,231,1.4372294372232155,0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,40.746875941947565,21758.831753,534,8330.193370786517,304,230,1.321739130429036,0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,145.48174829898866,2143382.597689,14733,3837.885375008484,6703,8030,0.8347447073473431,0
0xb899e522b5715391ae1d4f137653e7906c5e2115,4.648305254443986,22488.500821,4838,22504.555828854896,2368,2470,0.9587044534409074,2
0xbaaaf6571ab7d571043ff1e313a9609a10637864,44.364090516232544,940163.80622,21192,3210.472831257078,11195,9997,1.1198359507851234,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,83.49831952025748,220519.061853,2641,7852.098337750852,1193,1448,0.8238950276237405,0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,20.806304824731235,836080.553077,40184,1844.2118863229146,17413,22771,0.7647007158227234,0
